version,1.7.0
info,balls_per_over,6
info,team,Pakistan
info,team,Australia
info,gender,male
info,season,2025/26
info,date,2026/02/01
info,event,Australia tour of Pakistan
info,match_number,3
info,venue,"Gaddafi Stadium, Lahore"
info,city,Lahore
info,toss_winner,Pakistan
info,toss_decision,bat
info,player_of_match,Mohammad Nawaz
info,umpire,Nasir Hussain
info,umpire,Rashid Riaz
info,reserve_umpire,Zulfiqar Jan
info,tv_umpire,Tariq Rasheed
info,match_referee,Ali Naqvi
info,winner,Pakistan
info,winner_runs,111
info,player,Pakistan,Fakhar Zaman
info,player,Pakistan,Saim Ayub
info,player,Pakistan,Agha Salman
info,player,Pakistan,Babar Azam
info,player,Pakistan,Khawaja Nafay
info,player,Pakistan,Shadab Khan
info,player,Pakistan,Mohammad Nawaz
info,player,Pakistan,Faheem Ashraf
info,player,Pakistan,Shaheen Shah Afridi
info,player,Pakistan,Naseem Shah
info,player,Pakistan,Abrar Ahmed
info,player,Australia,MR Marsh
info,player,Australia,MW Short
info,player,Australia,C Green
info,player,Australia,MT Renshaw
info,player,Australia,MP Stoinis
info,player,Australia,JR Philippe
info,player,Australia,MJ Owen
info,player,Australia,C Connolly
info,player,Australia,BJ Dwarshuis
info,player,Australia,MP Kuhnemann
info,player,Australia,A Zampa
info,registry,people,A Zampa,14f96089
info,registry,people,Abrar Ahmed,abb7c76c
info,registry,people,Agha Salman,89c16049
info,registry,people,Ali Naqvi,3c89fc88
info,registry,people,BJ Dwarshuis,e1b9f3a9
info,registry,people,Babar Azam,8a75e999
info,registry,people,C Connolly,fe366f34
info,registry,people,C Green,eaa76d3c
info,registry,people,Faheem Ashraf,bd4ea627
info,registry,people,Fakhar Zaman,1777c020
info,registry,people,JR Philippe,39086549
info,registry,people,Khawaja Nafay,3cf54e77
info,registry,people,MJ Owen,f2c936d7
info,registry,people,MP Kuhnemann,7b953689
info,registry,people,MP Stoinis,d9273ee7
info,registry,people,MR Marsh,3d8feaf8
info,registry,people,MT Renshaw,218d4d78
info,registry,people,MW Short,a90e53ec
info,registry,people,Mohammad Nawaz,3086f7a4
info,registry,people,Naseem Shah,9c9af282
info,registry,people,Nasir Hussain,5b2fe85b
info,registry,people,Rashid Riaz,fb82725e
info,registry,people,Sahibzada Farhan,1aba45cd
info,registry,people,Saim Ayub,33609a8c
info,registry,people,Shadab Khan,9de62878
info,registry,people,Shaheen Shah Afridi,45a7e761
info,registry,people,Tariq Rasheed,1008518c
info,registry,people,Zulfiqar Jan,006de9ca
ball,1,0.1,Pakistan,Fakhar Zaman,Saim Ayub,MP Kuhnemann,0,0,,,,,,"",""
ball,1,0.2,Pakistan,Fakhar Zaman,Saim Ayub,MP Kuhnemann,1,0,,,,,,"",""
ball,1,0.3,Pakistan,Saim Ayub,Fakhar Zaman,MP Kuhnemann,1,0,,,,,,"",""
ball,1,0.4,Pakistan,Fakhar Zaman,Saim Ayub,MP Kuhnemann,4,1,,1,,,,"",""
ball,1,0.5,Pakistan,Fakhar Zaman,Saim Ayub,MP Kuhnemann,1,0,,,,,,"",""
ball,1,0.6,Pakistan,Saim Ayub,Fakhar Zaman,MP Kuhnemann,1,0,,,,,,"",""
ball,1,0.7,Pakistan,Fakhar Zaman,Saim Ayub,MP Kuhnemann,4,0,,,,,,"",""
ball,1,1.1,Pakistan,Saim Ayub,Fakhar Zaman,MW Short,0,0,,,,,,"",""
ball,1,1.2,Pakistan,Saim Ayub,Fakhar Zaman,MW Short,0,0,,,,,,"",""
ball,1,1.3,Pakistan,Saim Ayub,Fakhar Zaman,MW Short,1,0,,,,,,"",""
ball,1,1.4,Pakistan,Fakhar Zaman,Saim Ayub,MW Short,0,0,,,,,,"",""
ball,1,1.5,Pakistan,Fakhar Zaman,Saim Ayub,MW Short,0,0,,,,,,caught,Fakhar Zaman
ball,1,1.6,Pakistan,Agha Salman,Saim Ayub,MW Short,4,0,,,,,,"",""
ball,1,2.1,Pakistan,Saim Ayub,Agha Salman,C Connolly,0,0,,,,,,"",""
ball,1,2.2,Pakistan,Saim Ayub,Agha Salman,C Connolly,4,0,,,,,,"",""
ball,1,2.3,Pakistan,Saim Ayub,Agha Salman,C Connolly,4,0,,,,,,"",""
ball,1,2.4,Pakistan,Saim Ayub,Agha Salman,C Connolly,4,0,,,,,,"",""
ball,1,2.5,Pakistan,Saim Ayub,Agha Salman,C Connolly,0,0,,,,,,"",""
ball,1,2.6,Pakistan,Saim Ayub,Agha Salman,C Connolly,1,0,,,,,,"",""
ball,1,3.1,Pakistan,Saim Ayub,Agha Salman,BJ Dwarshuis,1,0,,,,,,"",""
ball,1,3.2,Pakistan,Agha Salman,Saim Ayub,BJ Dwarshuis,1,0,,,,,,"",""
ball,1,3.3,Pakistan,Saim Ayub,Agha Salman,BJ Dwarshuis,1,0,,,,,,"",""
ball,1,3.4,Pakistan,Agha Salman,Saim Ayub,BJ Dwarshuis,0,0,,,,,,caught,Agha Salman
